threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,tp,fp,tn,fn
-1.957375897047194,0.9525,0.9525,1.0,0.9756722151088348,1.0,0.0,1905,95,0,0
-0.4310046151263521,0.855,0.9544175576814856,0.8902887139107611,0.9212384573601303,0.8526315789473684,0.10971128608923884,1696,81,14,209
-0.287567532245699,0.768,0.9633440514469453,0.7863517060367454,0.8658959537572254,0.6,0.2136482939632546,1498,57,38,407
-0.17524497618754598,0.678,0.972993248312078,0.6808398950131234,0.8011117974058061,0.37894736842105264,0.31916010498687664,1297,36,59,608
-0.0465315436798549,0.578,0.9774977497749775,0.5700787401574803,0.7201591511936339,0.2631578947368421,0.42992125984251967,1086,25,70,819
0.09285062061127818,0.485,0.9921259842519685,0.462992125984252,0.6313528990694345,0.07368421052631578,0.537007874015748,882,7,88,1023
0.3392037910252471,0.38,0.9985007496251874,0.34960629921259845,0.5178849144634525,0.010526315789473684,0.6503937007874016,666,1,94,1239
0.7724789415932416,0.27,1.0,0.2335958005249344,0.37872340425531914,0.0,0.7664041994750657,445,0,95,1460
1.3011285930443441,0.159,1.0,0.11706036745406824,0.20958646616541354,0.0,0.8829396325459318,223,0,95,1682
55.39789251171594,0.048,1.0,0.0005249343832020997,0.001049317943336831,0.0,0.9994750656167979,1,0,95,1904
